============================================================
COMPLETE VOCABULARY LIST (PRIORITY SORTED)
============================================================

Total words: 2578

Priority order:
  1. Quran vocabulary (highest priority): 562 words
  2. General vocabulary (sorted by frequency): 2016 words

Format: english | arabic | transliteration

============================================================

# ========== QURAN VOCABULARY (HIGHEST PRIORITY) ==========

this (masculine) | هذا
that (masculine) | ذالك
this (feminine) | هذه
that (feminine) | تلك
these | هؤلاء
those (masculine) | اولئك
he who | الذي
she who | التي
those who | الذين
these (for broken plurals) | هذه
those (for broken plurals) | تلك
No, No!!! | لا
except Allah | إلا الله
never certainly not | كلا
not (for future) | لن
not (for past) | لم
not | ما
is not (masculine) | لَيْسَ
is not (feminine) | لَيْسَتْ
yes, indeed | بَلَى
other than | غَيْر
besides, less than | دون
except, unless, if not | إلا
yes | نَعَمْ
Who? | مَنْ
Whose? | لمن
He (masculine) | هُوَ
Them (masculine) | هُمْ
you (masculine) | أَنْتَ
you all (masculine) | أنتُم
I (masculine/feminine) | أنا
US (masculine/feminine) | نَحْنُ
she | هي
They (feminine) | هُنَّ
you (feminine) | أنت
his | ـه
their (masculine) | هم
your (masculine) | ك...
Yours truly (masculine plural) | كُمْ
my | ـي (ني)
her | ها...
their | ...هم
Yours truly (feminine) | ك...
those two | هُمَا
you two | أَنْتُمَا
where? | أَيْنَ
above, up | فوق
what / that which | ما
who / the one who | مَنْ
under | تحت
when? | متى
in front of | بَيْنَ يَدَيْ
back, after | خلف
how | كيف
behind | وراء
how many | كم
right / oath | يَمِينِ
which? | أَيُّ
left | شمال
wherefrom? / why? | أني
around | حول
Is / Am / Are / Do | أ / هل
what | مَاذَا
wherever | حيث
why? | لمَ / لِمَاذَا
if not, why not | لَوْلَا
owner / endowed with | ذو / ذا / ذي
before | قبل
owner (feminine) | ذات
after | بعد
owners of / people of | أُوْلُوا
time, period | حين
family / relatives | أهل
when (past) | إذ
relatives / people | آل
when (future) | إذا
then | ثم / ف
lo! / will not | ألا
what an excellent | نعم
what an evil | بئس
evil is that which | بئسما
near / with | عِنْدَ / لَدَى
sth similar | مثل
nothing but | إن ... إلا
similitude | مثل / أمثال
nothing but | ما ... إلا
from those who | مِمَّنْ
that..not / so as not to | أَلا / أَنْ لا
with what; because | بما
about what | عَمَّا
in what | فيما
as, just as | كما
for what/that which | لما
out of what | مما
as to, as for | أما
