============================================================
ARABIC VOCABULARY ORGANIZED BY CATEGORY
============================================================

For Mode 2: Quick Review - organized by topic
Format: english | arabic | transliteration

============================================================
# PRONOUNS & DEMONSTRATIVES (530 words)
============================================================

Accept (my prayer) | آمين |
All of them (pl.m) | كُلُّهُمْ |
All of you (pl.m) | كلكم |
All parts of the world | جَمِيعُ أَنْحَاءِ الْعَالَمِ |
Another (dl) | أُخْرَيَانِ |
Another (f) | أُخْرَى |
Another (m) | آخر |
As if they (f,pl) | كَأَنَّهُنَّ |
As if they (m.pl) | كَأَنَّهُمْ |
As if you (m,sing.) / (f, sing.) | كانك / كأَنَّكِ |
Because you (m,sing.) | لأنك |
Come along | هيا بنا |
Do you (sing.m) have...? | أعندك ...؟ |
Do you (sing.m) have? | أَلَكَ ... |
Four (f) | أَرْبَعَةٌ |
Four brothers | أَرْبَعَةُ إِخْوَة |
Four hundred students | أَرْبَعُمِائَةِ طَالِبٍ طَالِبَةٍ |
Four hundred thousand | أَرْبَعُمِائَةِ أَلْفِ |
Four sisters | أَرْبَعُ أَخَوَاتِ |
Four thousand | أَرْبَعَةُ آلاف |
Give me (f.pl) | هَاتِينَ |
Give me (f.s) | هَاتِي |
Give me (m.pl) | هَاتُوا |
Give me (m.s) | هَاتِ |
He (masculine) | هُوَ
He abandoned/left off | تَرَكَ |
He abandoned/left | ترك |
He abandons/leaves off | يَتْرُكُ |
He abandons/leaves | يَتْرُكُ |
He abused | سب |
He abuses | يَسُبُّ |
He arrived | وَصَلَ |
He arrives | يَصِلُ |
He ascended | عَرَجَ |
He ascends | صَعِدَ |
He asked | سَأَلَ |
He ate (a-u) | أكل |
He ate | أكل |
He attended | حضر |
He began | بدأ |
He begins | يَبْدَأُ |
He blocks | يَسُدُّ |
He bore witness | شهد |
He bought | اشْتَرَى |
He bowed (a-a) | رَكَعَ |
He broke | كَسَر |
He builds | يَيْنِي |
He built | بنی |
He came | جَاءَ |
He ceased | زَالَ |
He ceases | يَزَالُ |
He circumbulated | طاف |
He circumbulates | يَطُوفُ |
He comes | يَأْتِي |
He commenced | بدأ |
He compiled | أَلْفَ |
He compiles | يُؤَلِّفُ |
He complained | شکا |
He complains | يَشْكُو |
He cooked | طَبَخَ |
He cooks | يَطْبُخُ |
He counted | عد |
He counts | يَعُدُّ |
He created | خَلَقَ |
He cried | بگی |
He cries | يبكي |
He cut | قَطَعَ |
He cuts | يَقْطَعُ |
He descended (a- i) | نَزَلَ |
He descended | نزل |
He did (a-a) | فَعَلَ |
He did not cease | مَا زَالَ |
He died | مات |
He dies | يَمُوتُ |
He does not cease | لا يَزَالُ |
He dragged/pulled | جر |
He drags/pulls | يجر |
He drank (i-a) | شَرِبَ |
He drank | شَرِبَ |
He drinking (a-i) | يَشْرَبُ |
He ended | انْتَهَى |
He ends (come to end) | يَنْتَهِي |
He entered (a-u) | دَخَلَ |
He entered | دَخَلَ |
He enters | يَلِجُ |
He erased | محا |
He erases | يَمْحُو |
He explained | شَرَحَ |
He failed | رَسَبَ |
He fails | يَرْسُبُ |
He falls sick | يَمْرَضُ |
He falls | يَقَعُ |
He fasted | صَامَ |
He fasts | يَصُومُ |
He feared | خاف |
